Timestamp: 27 May 2021 , 12:47:11 PM  Avg. characters per second: 29.74  Time Taken: 2.19 s  characters: 65  line: 95
Timestamp: 27 May 2021 , 12:47:12 PM  Avg. characters per second: 13.18  Time Taken: 1.21 s  characters: 16  line: 96
Timestamp: 27 May 2021 , 12:47:14 PM  Avg. characters per second: 30.63  Time Taken: 1.57 s  characters: 48  line: 97
Timestamp: 27 May 2021 , 12:47:15 PM  Avg. characters per second: 7.84  Time Taken: 1.28 s  characters: 10  line: 98
Timestamp: 27 May 2021 , 12:47:16 PM  Avg. characters per second: 20.94  Time Taken: 1.29 s  characters: 27  line: 99
Timestamp: 27 May 2021 , 12:47:18 PM  Avg. characters per second: 42.05  Time Taken: 1.28 s  characters: 54  line: 100
Timestamp: 27 May 2021 , 12:47:19 PM  Avg. characters per second: 20.23  Time Taken: 1.48 s  characters: 30  line: 101
Timestamp: 27 May 2021 , 12:47:20 PM  Avg. characters per second: 30.71  Time Taken: 1.24 s  characters: 38  line: 102
Timestamp: 27 May 2021 , 12:47:22 PM  Avg. characters per second: 40.37  Time Taken: 1.24 s  characters: 50  line: 103
Timestamp: 27 May 2021 , 12:47:23 PM  Avg. characters per second: 37.45  Time Taken: 1.26 s  characters: 47  line: 104
Timestamp: 27 May 2021 , 12:47:24 PM  Avg. characters per second: 52.18  Time Taken: 1.25 s  characters: 65  line: 105
Timestamp: 27 May 2021 , 12:47:26 PM  Avg. characters per second: 47.54  Time Taken: 1.41 s  characters: 67  line: 106
Timestamp: 27 May 2021 , 12:47:27 PM  Avg. characters per second: 40.76  Time Taken: 1.62 s  characters: 66  line: 107
Timestamp: 27 May 2021 , 12:47:29 PM  Avg. characters per second: 22.65  Time Taken: 1.50 s  characters: 34  line: 108
Timestamp: 27 May 2021 , 12:47:31 PM  Avg. characters per second: 68.09  Time Taken: 1.91 s  characters: 130  line: 109
Timestamp: 27 May 2021 , 12:47:32 PM  Avg. characters per second: 58.36  Time Taken: 1.37 s  characters: 80  line: 110
Timestamp: 27 May 2021 , 12:47:33 PM  Avg. characters per second: 55.64  Time Taken: 1.35 s  characters: 75  line: 111
Timestamp: 27 May 2021 , 12:47:35 PM  Avg. characters per second: 44.17  Time Taken: 1.74 s  characters: 77  line: 112
Timestamp: 27 May 2021 , 12:47:37 PM  Avg. characters per second: 51.41  Time Taken: 2.31 s  characters: 119  line: 113
Timestamp: 27 May 2021 , 12:47:39 PM  Avg. characters per second: 97.00  Time Taken: 1.48 s  characters: 144  line: 114
Timestamp: 27 May 2021 , 12:47:40 PM  Avg. characters per second: 119.54  Time Taken: 1.10 s  characters: 132  line: 115
Timestamp: 27 May 2021 , 12:47:41 PM  Avg. characters per second: 44.13  Time Taken: 1.47 s  characters: 65  line: 116
Timestamp: 27 May 2021 , 12:47:43 PM  Avg. characters per second: 26.55  Time Taken: 1.24 s  characters: 33  line: 117
Timestamp: 27 May 2021 , 12:47:44 PM  Avg. characters per second: 26.85  Time Taken: 1.68 s  characters: 45  line: 118
Timestamp: 27 May 2021 , 12:47:46 PM  Avg. characters per second: 33.64  Time Taken: 1.28 s  characters: 43  line: 119
Timestamp: 27 May 2021 , 12:47:47 PM  Avg. characters per second: 11.79  Time Taken: 1.53 s  characters: 18  line: 120
Timestamp: 27 May 2021 , 12:47:49 PM  Avg. characters per second: 9.60  Time Taken: 1.56 s  characters: 15  line: 121
Timestamp: 27 May 2021 , 12:47:50 PM  Avg. characters per second: 23.75  Time Taken: 1.43 s  characters: 34  line: 122
Timestamp: 27 May 2021 , 12:47:52 PM  Avg. characters per second: 50.65  Time Taken: 1.48 s  characters: 75  line: 123
Timestamp: 27 May 2021 , 12:47:53 PM  Avg. characters per second: 74.76  Time Taken: 1.62 s  characters: 121  line: 124
Timestamp: 27 May 2021 , 12:47:55 PM  Avg. characters per second: 17.48  Time Taken: 1.54 s  characters: 27  line: 125
Timestamp: 27 May 2021 , 12:47:57 PM  Avg. characters per second: 50.33  Time Taken: 2.23 s  characters: 112  line: 126
